STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
200 LIQUORS,48663,17055,5000,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170313815001007,1178461.6344048942,1873949.3843109086,41.8094238941,-87.6209518020,"(41.8094238941, -87.620951802)"
3600 COMMISSARY,24279,9830,3800,B,3600 N LAKE SHORE DR,60613,LAKE VIEW,6,46,17031060900,170310609004001,1171865.8187503873,1924645.0382131825,41.9486836744,-87.6436497585,"(41.9486836744, -87.6436497585)"
4343 PETES FRESH MARKET,1336669,260303,57000,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001015,1150447.9257608664,1875370.2855434741,41.8139143113,-87.7236649419,"(41.8139143113, -87.7236649419)"
4700 PETE'S FRESH MARKET,1243125,245519,45000,A,4700 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031842800,170318428004023,1155791.9493024794,1873270.7784828772,41.8080472717,-87.7041188223,"(41.8080472717, -87.7041188223)"
5659 W. DIVERSEY,1575023,277375,4000,B,5659 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906022001,1137914.0810304238,1918001.6539807494,41.9311354035,-87.7686121306,"(41.9311354035, -87.7686121306)"
"7400 S HALSTED FOOD AND LIQUORS, INC.",980,186,10001,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813003005,1172208.8098604858,1855768.9165432698,41.7596745819,-87.6444202389,"(41.7596745819, -87.6444202389)"
79 FOOD BASKET,1958784,341069,3000,B,1351 W 79TH ST,60620,AUBURN GRESHAM,71,21,17031710700,170317107001012,1168478.9380996425,1852330.8146064386,41.7503211206,-87.6581890529,"(41.7503211206, -87.6581890529)"
A & B FOOD MARKET INC,43181,6483,10001,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170312511004000,1142184.0432471954,1907473.3799980525,41.9021664421,-87.7531823487,"(41.9021664421, -87.7531823487)"
A & G LIQUORS,44373,35423,4800,B,6945 S STATE ST,60637,GREATER GRAND CROSSING,69,6,17031690400,170316904003005,1177546.7151574378,1858784.7080415017,41.7678312792,-87.6247659397,"(41.7678312792, -87.6247659397)"
A & R FOOD MART,9125,4227,2500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018,1136148.4645573950,1914149.5267326030,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
A & R FOOD MART,1954411,340750,3500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018,1136148.4645573950,1914149.5267326030,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
AARAY GROCERY,1900,62541,10001,A,2601 N HALSTED ST,60614,LINCOLN PARK,7,43,17031070200,170310702001009,1170536.0705650630,1917537.5957608280,41.9292098170,-87.6487462650,"(41.929209817, -87.648746265)"
ADA FOODS,50473,56673,4500,B,1281 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031671800,170316718001000,1168677.6792880680,1857642.9993982154,41.7648941814,-87.6573078048,"(41.7648941814, -87.6573078048)"
ADAMS FOOD MART,1817376,316090,2500,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170312516003011,1141632.2601337098,1903412.6519004565,41.8910335471,-87.7553096457,"(41.8910335471, -87.7553096457)"
AL BAYAN GROCERY INC.,1542202,282078,2500,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,170318315001015,1133152.9704370175,1920313.7029264066,41.9375646502,-87.7860543686,"(41.9375646502, -87.7860543686)"
ALDI,1959623,5273,15680,A,6221 N BROADWAY,60660,EDGEWATER,77,49,17031030103,170310301031003,1167209.1838836220,1941564.0231915617,41.9952114602,-87.6602779929,"(41.9952114602, -87.6602779929)"
